<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20121203,000000,215.6061100,216.2892400,214.1735600,214.4743400,0
20121204,000000,214.8006200,215.5755200,214.4131700,214.8210100,0
20121205,000000,215.0453200,216.3402200,214.0155200,215.5143400,0
20121206,000000,215.3766900,215.8763000,214.9178700,215.5092400,0
20121207,000000,215.6774800,216.1261100,214.4998300,216.0751300,0
20121210,000000,215.7845400,217.4006100,215.6010100,217.0233600,0
20121211,000000,217.6198300,219.6998300,217.6198300,219.2257100,0
20121212,000000,219.5978700,220.3166900,218.5629700,218.8076700,0
20121213,000000,218.2519900,218.8178700,216.4065000,216.7378700,0
20121214,000000,216.2994400,216.7378700,215.4837500,215.7488500,0
20121217,000000,216.1210100,217.4515900,216.1210100,217.3751200,0
20121218,000000,217.5994400,219.4143400,217.0743400,219.2053200,0
20121219,000000,219.1186500,219.1288500,216.9774800,217.0029700,0
20121220,000000,216.8959100,217.4668900,216.2688500,217.3037500,0
20121221,000000,216.2535600,216.2841400,214.8566900,215.6061100,0
20121224,000000,215.1727700,215.3563000,214.5712000,214.9178700,0
20121226,000000,214.8414000,214.9280700,213.2661100,213.8574800,0
20121227,000000,213.7147300,214.6017900,211.6704200,213.6739500,0
20121228,000000,212.9245400,213.4343400,211.3900300,211.4461100,0
20121231,000000,210.6151300,214.0970900,210.4163100,214.0512100,0
20130102,000000,216.5492400,218.2672800,216.4982600,218.2265000,0
20130103,000000,218.1602200,218.6700300,217.4108100,218.5017900,0
20130104,000000,218.7515900,219.8017900,218.7515900,219.3990400,0
20130107,000000,219.0625700,220.3727700,218.7465000,220.2861000,0
20130108,000000,220.2249300,221.0406100,220.1229600,220.3421800,0
20130109,000000,221.0966900,222.8249200,221.0508100,222.8249200,0
20130110,000000,223.2225700,224.5480600,222.5445300,224.3696300,0
20130111,000000,224.3594300,224.6398200,223.3959000,223.8088400,0
20130114,000000,224.0229600,224.6245300,223.4213900,224.3849200,0
20130115,000000,223.7782600,224.3900200,223.2735500,224.2064900,0
20130116,000000,224.0433500,224.0892400,223.4112000,223.7476700,0
20130117,000000,224.2829600,226.0468800,224.1351200,225.5217800,0
20130118,000000,225.4759000,226.2304100,224.8233500,226.2304100,0
20130122,000000,226.1488400,227.0562900,225.1343300,227.0562900,0
20130123,000000,227.0104100,227.0104100,226.0061000,226.5210000,0
20130124,000000,226.6739400,228.7029600,226.6739400,228.0555100,0
20130125,000000,228.1931500,229.9927600,228.0453100,229.9876600,0
20130128,000000,229.9417800,230.3598200,228.9884500,229.0292300,0
